Warehouse_block,Warehouse_city,Mode_of_Shipment,Name of charged warehouse's employee,LOADING_DATE,DELIVERED_TO_WAREHOUSE_DATE
Warehouse B,San Jose,Ship,Issac Gill,26/04/2021,24/05/2021
Warehouse C,Boston,Ship,Fiona Rosales,20/05/2021,17/06/2021
Warehouse F,San Jose,Ship,Hashim Barton,25/10/2020,22/11/2020
Warehouse D,New York,Ship,Kirsten Wheeler,14/06/2021,12/07/2021
Warehouse F,San Jose,Ship,Jerry Hubbard,28/06/2021,26/07/2021
Warehouse A,Birmingham,Ship,Ellena Salazar,13/06/2021,11/07/2021
Warehouse B,San Jose,Ship,Aqsa Villarreal,02/05/2021,30/05/2021
Warehouse C,Boston,Ship,Mateo Silva,20/04/2021,18/05/2021
Warehouse F,San Jose,Ship,Chloe Ashley,27/05/2021,24/06/2021
Warehouse D,New York,Ship,Roger Cooper,30/03/2021,27/04/2021
Warehouse F,San Jose,Ship,,29/07/2021,26/08/2021
Warehouse A,Birmingham,Ship,Luke Merrill,19/07/2021,16/08/2021
Warehouse B,San Jose,Ship,Rahim Dale,07/07/2021,04/08/2021
Warehouse C,Boston,Ship,Mya Rios,16/03/2021,13/04/2021
Warehouse F,San Jose,Ship,Ellen Haney,27/04/2021,25/05/2021
Warehouse D,New York,Ship,Jemma Shepherd,05/07/2021,02/08/2021
Warehouse F,San Jose,Ship,Claude Glover,01/06/2021,29/06/2021
Warehouse A,Birmingham,Ship,Tatiana Slater,05/03/2021,02/04/2021
Warehouse B,San Jose,Ship,Vinny Stephens,11/04/2021,09/05/2021
Warehouse C,Boston,Ship,Sumaiya Obrien,21/03/2021,18/04/2021
Warehouse F,San Jose,Ship,Lulu Hill,15/07/2021,12/08/2021
Warehouse D,New York,Ship,Ricardo Page,15/06/2021,13/07/2021
Warehouse F,San Jose,Ship,Sion Richard,27/05/2021,24/06/2021
Warehouse A,Birmingham,Ship,Zain Mccarty,03/10/2020,31/10/2020
Warehouse B,San Jose,Ship,Flynn Conley,09/07/2021,06/08/2021
Warehouse C,Boston,Ship,Mari Hendrix,09/04/2021,07/05/2021
Warehouse F,San Jose,,Carmen Schneider,27/05/2021,24/06/2021
Warehouse D,New York,Ship,Kimberly Burns,12/05/2021,09/06/2021
Warehouse F,San Jose,Ship,Haaris Lowery,04/07/2021,01/08/2021
Warehouse A,Birmingham,Ship,Zaynah Fowler,31/05/2021,28/06/2021
Warehouse B,San Jose,Ship,Seren Crosby,31/05/2021,28/06/2021
Warehouse C,Boston,Ship,Maisha Craig,27/05/2021,24/06/2021
Warehouse F,San Jose,Ship,Mercedes Marsh,27/05/2021,24/06/2021
Warehouse D,New York,Ship,Justin Hawkins,30/06/2021,28/07/2021
Warehouse F,San Jose,Ship,Oliwier Carr,27/05/2021,24/06/2021
Warehouse A,Birmingham,Ship,Byron Andersen,16/05/2021,13/06/2021
Warehouse B,San Jose,Ship,Cormac Pierce,02/07/2021,30/07/2021
Warehouse C,Boston,Ship,Jeffrey Bright,22/04/2021,20/05/2021
Warehouse F,San Jose,Ship,Kyra Holder,27/05/2021,24/06/2021
Warehouse D,New York,Ship,Maximus Arroyo,09/07/2021,06/08/2021
Warehouse F,San Jose,Ship,Kirsty Sandoval,21/06/2021,19/07/2021
Warehouse A,Birmingham,,Maya Mann,26/07/2021,23/08/2021
Warehouse B,San Jose,Ship,Jeremiah Burke,08/11/2021,06/12/2021
Warehouse C,Boston,Ship,Eesa Strickland,28/10/2021,25/11/2021
Warehouse F,San Jose,Ship,Isabel Velez,01/11/2021,29/11/2021
Warehouse D,New York,Ship,Kamran Bowers,27/05/2021,24/06/2021
Warehouse F,San Jose,Ship,Eileen Robertson,08/06/2021,06/07/2021
Warehouse A,Birmingham,Ship,Mark Decker,04/04/2021,02/05/2021
Warehouse B,San Jose,Ship,Safa Moss,01/05/2021,29/05/2021
Warehouse C,Boston,Ship,Ellis David,12/05/2021,09/06/2021
Warehouse F,San Jose,Ship,Elsa Connor,23/05/2021,20/06/2021
Warehouse D,New York,Ship,Brandon Cuevas,03/07/2021,31/07/2021
Warehouse F,San Jose,Ship,Marianne Guerra,27/03/2021,24/04/2021
Warehouse A,Birmingham,Ship,Owen Zuniga,03/04/2021,01/05/2021
Warehouse B,San Jose,Ship,Jodie Logan,19/03/2021,16/04/2021
Warehouse C,Boston,Ship,Frazer Willis,21/03/2021,18/04/2021
Warehouse F,San Jose,Ship,Loui Mccann,06/02/2021,06/03/2021
Warehouse D,New York,Ship,Abbas Proctor,14/03/2021,11/04/2021
Warehouse F,San Jose,Ship,Vivian Ali,24/01/2021,21/02/2021
Warehouse A,Birmingham,Ship,Yousef Hewitt,04/02/2021,04/03/2021
Warehouse B,San Jose,Ship,Aleesha Juarez,26/10/2020,23/11/2020
Warehouse C,Boston,Ship,Lowri Berger,26/03/2021,23/04/2021
Warehouse F,San Jose,Ship,Curtis Cantrell,26/08/2020,23/09/2020
Warehouse D,,Ship,Robert Hood,11/04/2021,09/05/2021
Warehouse F,San Jose,Ship,Tamzin Davila,08/04/2021,06/05/2021
Warehouse A,Birmingham,Road,Albert Ayala,09/04/2021,07/05/2021
Warehouse B,San Jose,Road,Lila Reyes,01/03/2021,29/03/2021
Warehouse C,Boston,Road,Lily-May Pacheco,25/03/2021,22/04/2021
Warehouse F,San Jose,Road,Jacqueline Bender,19/10/2020,16/11/2020
Warehouse D,New York,Road,Alice Hartley,01/02/2021,01/03/2021
Warehouse F,San Jose,Road,Thalia Moon,20/04/2021,18/05/2021
Warehouse A,Birmingham,Road,Mia Woodard,05/05/2021,02/06/2021
Warehouse B,San Jose,Road,Frances Gates,08/04/2021,06/05/2021
Warehouse C,Boston,Road,Katherine Monroe,02/05/2021,30/05/2021
Warehouse F,San Jose,Road,Victor Thomas,13/07/2021,10/08/2021
Warehouse D,New York,Road,Dorothy Adkins,05/07/2021,02/08/2021
Warehouse F,San Jose,Road,Bernice Christensen,22/07/2021,19/08/2021
Warehouse A,Birmingham,Road,Jaxon Chaney,03/04/2021,01/05/2021
Warehouse B,San Jose,Road,Jack Robbins,02/05/2021,30/05/2021
Warehouse C,Boston,Road,Angelina Arias,31/03/2021,28/04/2021
Warehouse F,,Road,Sam Evans,21/03/2021,18/04/2021
Warehouse D,New York,Road,Elin Blankenship,19/06/2021,17/07/2021
Warehouse F,San Jose,Road,Shreya Meyer,28/03/2021,25/04/2021
Warehouse A,Birmingham,Road,Rebecca Kramer,16/12/2020,13/01/2021
Warehouse B,San Jose,Road,Otis Mcbride,30/04/2021,28/05/2021
Warehouse C,Boston,Road,Alessia Elliott,16/05/2019,13/06/2019
Warehouse F,San Jose,Road,Clara Thompson,17/04/2021,15/05/2021
Warehouse D,New York,Air,Mari Andrade,22/08/2020,19/09/2020
Warehouse F,San Jose,Air,Bryony Gallegos,06/04/2021,04/05/2021
Warehouse A,Birmingham,Air,Gethin O'Sullivan,10/04/2021,08/05/2021
Warehouse B,San Jose,Air,Lauren Middleton,03/04/2021,01/05/2021
Warehouse C,Boston,Air,Jade Cohen,30/12/2020,27/01/2021
Warehouse F,San Jose,Air,Jaden Lindsey,28/04/2021,26/05/2021
Warehouse D,New York,Air,Cecily Bradley,27/09/2020,25/10/2020
Warehouse F,San Jose,Air,Fleur Barlow,04/02/2021,04/03/2021
Warehouse A,Birmingham,Air,Kaan Mccarthy,28/02/2021,28/03/2021
Warehouse B,San Jose,Air,Walter Orozco,26/02/2021,26/03/2021
Warehouse C,Boston,Air,Dafydd Mckay,09/03/2021,06/04/2021
Warehouse F,San Jose,Air,Eliza Boyd,06/05/2021,03/06/2021
Warehouse D,New York,Air,Chad Richard,03/04/2021,01/05/2021
Warehouse F,San Jose,Air,Samia Mathis,13/04/2021,11/05/2021
Warehouse A,Birmingham,Air,Angel Beasley,16/02/2021,16/03/2021
Warehouse B,San Jose,Air,Halle Levine,24/04/2021,22/05/2021
Warehouse C,Boston,Air,Nikhil Sampson,03/03/2021,31/03/2021
Warehouse F,San Jose,Air,Aliyah Porter,17/04/2021,15/05/2021
Warehouse D,New York,Air,Giovanni Newman,24/02/2021,24/03/2021
Warehouse F,San Jose,Air,Filip Li,14/04/2021,12/05/2021
Warehouse A,Birmingham,Air,Isobel Flynn,02/05/2021,30/05/2021
Warehouse B,San Jose,Air,Evan Calhoun,27/04/2021,25/05/2021
Warehouse C,Boston,Ship,Taya Bentley,04/05/2021,01/06/2021
Warehouse F,San Jose,Ship,Liliana Hopkins,09/04/2021,07/05/2021
Warehouse D,New York,Ship,Betsy Steele,30/05/2021,27/06/2021
Warehouse F,San Jose,Ship,Tabitha Villarreal,28/02/2021,28/03/2021
Warehouse A,Birmingham,Ship,Alivia Dalton,23/02/2021,23/03/2021
Warehouse B,San Jose,Ship,Zayn Bond,25/04/2021,23/05/2021
Warehouse C,Boston,Ship,Brayden Glenn,17/11/2019,15/12/2019
Warehouse F,San Jose,Ship,Sulaiman Morris,23/01/2021,20/02/2021
Warehouse D,New York,Ship,Jasmin Warren,11/03/2021,08/04/2021
Warehouse F,San Jose,Ship,Kadie Quinn,20/03/2021,17/04/2021
Warehouse A,Birmingham,Ship,Mikolaj Mayer,27/07/2019,24/08/2019
Warehouse B,San Jose,Ship,Louise Coleman,22/01/2021,19/02/2021
Warehouse C,Boston,Ship,Andrea O'Reilly,08/04/2021,06/05/2021
Warehouse F,San Jose,Ship,Holly Tran,10/02/2021,10/03/2021
Warehouse D,New York,Ship,Ann Estrada,24/03/2018,21/04/2018
Warehouse F,San Jose,Ship,Aleksander Reed,25/04/2021,23/05/2021
Warehouse A,Birmingham,Ship,Finnian Romero,22/12/2020,19/01/2021
Warehouse B,San Jose,Ship,Nina Gay,07/04/2021,05/05/2021
Warehouse C,Boston,Ship,Anastasia Bolton,14/03/2021,11/04/2021
Warehouse F,San Jose,Ship,Ameera Conley,04/04/2021,02/05/2021
Warehouse D,New York,Ship,Ishaq Le,11/02/2021,11/03/2021
Warehouse F,San Jose,Ship,Conrad Blackburn,09/08/2021,06/09/2021
Warehouse A,Birmingham,Ship,Rihanna Sandoval,04/08/2019,01/09/2019
Warehouse B,San Jose,Ship,Arabella Odonnell,29/10/2020,26/11/2020
Warehouse C,Boston,Ship,Mark Goodman,19/04/2021,17/05/2021
Warehouse F,San Jose,Ship,Marianne Stone,19/05/2021,16/06/2021
Warehouse D,New York,Ship,Jerry George,25/07/2021,22/08/2021
Warehouse F,San Jose,Ship,Lucinda Gross,17/04/2021,15/05/2021
Warehouse A,Birmingham,Ship,Laura Bryan,24/03/2021,21/04/2021
Warehouse B,San Jose,Ship,Liyana Blevins,05/02/2021,05/03/2021
Warehouse C,Boston,Ship,Craig Shepard,25/04/2021,23/05/2021
Warehouse F,San Jose,Ship,Peggy Aguilar,10/04/2021,08/05/2021
Warehouse D,New York,Ship,Kitty Wallace,19/05/2019,16/06/2019
Warehouse F,San Jose,Ship,Maisha Oneal,06/01/2021,03/02/2021
Warehouse A,Birmingham,Ship,Ioan Joyce,06/02/2020,05/03/2020
Warehouse B,San Jose,Ship,Madiha Contreras,28/05/2020,25/06/2020
Warehouse C,Boston,Ship,Iestyn Ochoa,28/05/2021,25/06/2021
Warehouse F,San Jose,Ship,Elmer Hickman,25/04/2021,23/05/2021
Warehouse D,New York,Ship,Rico Pace,24/07/2021,21/08/2021
Warehouse F,San Jose,Ship,Deborah Burke,07/05/2021,04/06/2021
Warehouse A,Birmingham,Ship,Jana Gill,22/06/2021,20/07/2021
Warehouse B,San Jose,Ship,Frederic Powell,20/08/2021,17/09/2021
Warehouse C,Boston,Ship,Jaime Santos,27/08/2020,24/09/2020
Warehouse F,San Jose,Ship,Mohsin Dickerson,27/04/2021,25/05/2021
Warehouse D,New York,Ship,Wiktor Whitney,08/05/2021,05/06/2021
Warehouse F,San Jose,Ship,Reggie Douglas,11/10/2019,08/11/2019
Warehouse A,Birmingham,Ship,Safa Dean,25/03/2021,22/04/2021
Warehouse B,San Jose,Ship,Maddison Ochoa,12/04/2021,10/05/2021
Warehouse C,Boston,Ship,Frankie Brown,15/03/2021,12/04/2021
Warehouse F,San Jose,Ship,Spencer Mcclure,01/04/2021,29/04/2021
Warehouse D,New York,Ship,Aidan Morris,20/01/2021,17/02/2021
Warehouse F,San Jose,Ship,Kelsey Short,10/04/2021,08/05/2021
Warehouse A,Birmingham,Ship,Ciaran Kane,05/11/2020,03/12/2020
Warehouse B,San Jose,Ship,Bryn Robles,23/03/2021,20/04/2021
Warehouse C,Boston,Ship,Devon Krueger,20/06/2020,18/07/2020
Warehouse F,San Jose,Ship,Gabriel Benjamin,13/06/2021,11/07/2021
Warehouse D,New York,Ship,Ines Cook,15/04/2020,13/05/2020
Warehouse F,San Jose,Ship,Julia Haas,27/05/2021,24/06/2021
Warehouse A,Birmingham,Ship,Levi Lucero,17/03/2021,14/04/2021
Warehouse B,San Jose,Ship,Robyn Hanna,16/05/2021,13/06/2021
Warehouse C,Boston,Ship,Nora Murphy,26/04/2021,24/05/2021
Warehouse F,San Jose,Ship,Charley Savage,07/06/2021,05/07/2021
Warehouse D,New York,Ship,Freddie Harrison,05/10/2020,02/11/2020
Warehouse F,San Jose,Ship,Ebony Smith,16/02/2021,16/03/2021
Warehouse A,Birmingham,Ship,Elliot Hood,01/02/2021,01/03/2021
Warehouse B,San Jose,Ship,Nevaeh Sanford,11/04/2021,09/05/2021
Warehouse C,Boston,Ship,Renee Ramirez,26/03/2021,23/04/2021
Warehouse F,San Jose,Ship,Anita Porter,27/03/2021,24/04/2021
Warehouse D,New York,Ship,Jaime Miller,04/04/2021,02/05/2021
Warehouse F,San Jose,Ship,Ashley Clayton,13/04/2021,11/05/2021
Warehouse A,Birmingham,Ship,Flynn Downs,04/04/2021,02/05/2021
Warehouse B,San Jose,Ship,Tatiana Warner,01/04/2021,29/04/2021
Warehouse C,Boston,Ship,Alexis Maldonado,24/08/2019,21/09/2019
Warehouse F,San Jose,Ship,Abby Walters,06/03/2021,03/04/2021
Warehouse D,New York,Ship,Laurie Bruce,13/02/2021,13/03/2021
Warehouse F,San Jose,Ship,Hayden Gill,29/05/2019,26/06/2019
Warehouse A,Birmingham,Ship,Stella Cline,04/04/2021,02/05/2021
Warehouse B,San Jose,Ship,Kaiden Silva,14/03/2021,11/04/2021
Warehouse C,Boston,Ship,Zane Holden,13/12/2020,10/01/2021
Warehouse F,San Jose,Ship,Verity Mcdowell,11/04/2020,09/05/2020
Warehouse D,New York,Ship,Lennon Merritt,25/03/2021,22/04/2021
Warehouse F,San Jose,Ship,Lee Hampton,07/02/2021,07/03/2021
Warehouse A,Birmingham,Ship,Tia Middleton,13/01/2021,10/02/2021
Warehouse B,San Jose,Ship,Eliot Chase,09/07/2021,06/08/2021
Warehouse C,Boston,Ship,Brooklyn Yoder,16/07/2021,13/08/2021
Warehouse F,San Jose,Ship,Max Hanson,24/06/2020,22/07/2020
Warehouse D,New York,Ship,Bailey Paul,10/10/2019,07/11/2019
Warehouse F,San Jose,Ship,Macauley Brennan,09/11/2019,07/12/2019
Warehouse A,Birmingham,Ship,Ray Cantrell,26/07/2020,23/08/2020
Warehouse B,San Jose,Ship,Louie Espinoza,05/02/2020,04/03/2020
Warehouse C,Boston,Ship,Bobby Mcintosh,19/03/2021,16/04/2021
Warehouse F,San Jose,Ship,Whitney Rush,17/02/2021,17/03/2021
Warehouse D,New York,Ship,Kacie Dickerson,25/04/2021,23/05/2021
Warehouse F,San Jose,Road,Sami Mccarthy,12/02/2021,12/03/2021
Warehouse A,Birmingham,Road,Jan Calderon,08/04/2021,06/05/2021
Warehouse B,San Jose,Road,Georgie Roth,07/01/2021,04/02/2021
Warehouse C,Boston,Road,Madison Deleon,19/04/2021,17/05/2021
Warehouse F,San Jose,Road,Blaine Gentry,07/04/2021,05/05/2021
Warehouse D,New York,Road,Finnley Pearson,09/04/2021,07/05/2021
Warehouse F,San Jose,Road,Everly Holder,26/10/2018,23/11/2018
Warehouse A,Birmingham,Road,Mckenzie Pittman,19/03/2021,16/04/2021
Warehouse B,San Jose,Road,Eliza Wolf,08/03/2021,05/04/2021
Warehouse C,Boston,Road,Mina Mosley,21/02/2021,21/03/2021
Warehouse F,San Jose,Road,Shane Shields,27/06/2021,25/07/2021
Warehouse D,New York,Road,Sian Rivera,15/03/2021,12/04/2021
Warehouse F,San Jose,Road,Tanya O'Sullivan,10/07/2021,07/08/2021
Warehouse A,Birmingham,Road,Rowan Pineda,20/03/2021,17/04/2021
Warehouse B,San Jose,Road,Nicola Hunt,10/02/2021,10/03/2021
Warehouse C,Boston,Road,Macy Harper,17/02/2021,17/03/2021
Warehouse F,San Jose,Road,Kaya Brandt,30/12/2020,27/01/2021
Warehouse D,New York,Road,Elijah Case,10/07/2021,07/08/2021
Warehouse F,San Jose,Road,Jean Branch,23/03/2021,20/04/2021
Warehouse A,Birmingham,Road,Belle Woods,28/01/2021,25/02/2021
Warehouse B,San Jose,Road,Hope Sparks,04/06/2020,02/07/2020
Warehouse C,Boston,Road,Keelan Singleton,09/02/2021,09/03/2021
Warehouse F,San Jose,Air,Jesse Parker,06/03/2021,03/04/2021
Warehouse D,New York,Air,Ronnie Camacho,27/03/2019,24/04/2019
Warehouse F,San Jose,Air,Aoife Dale,12/06/2021,10/07/2021
Warehouse A,Birmingham,Air,Rayhan Hebert,13/03/2021,10/04/2021
Warehouse B,San Jose,Air,Robbie Serrano,08/06/2021,06/07/2021
Warehouse C,Boston,Air,Pearl Rosales,09/02/2019,09/03/2019
Warehouse F,San Jose,Air,Rebekah Buchanan,29/04/2019,27/05/2019
Warehouse D,New York,Air,Sana Mccullough,18/04/2021,16/05/2021
Warehouse F,San Jose,Air,Siobhan Davidson,07/06/2021,05/07/2021
Warehouse A,Birmingham,Air,Alfie Berg,01/08/2021,29/08/2021
Warehouse B,San Jose,Air,Cade Sanders,10/08/2019,07/09/2019
Warehouse C,Boston,Air,Maya Reed,15/07/2021,12/08/2021
Warehouse F,San Jose,Air,Carter Powers,03/01/2021,31/01/2021
Warehouse D,New York,Air,Frances Burns,04/04/2021,02/05/2021
Warehouse F,San Jose,Air,Billy Hewitt,05/08/2021,02/09/2021
Warehouse A,Birmingham,Air,Elena Bauer,30/06/2021,28/07/2021
Warehouse B,San Jose,Air,Kade Cunningham,23/02/2021,23/03/2021
Warehouse C,Boston,Air,Katrina Joseph,03/04/2021,01/05/2021
Warehouse F,San Jose,Air,Taha Snyder,09/05/2021,06/06/2021
Warehouse D,New York,Air,Cordelia Gregory,31/08/2021,28/09/2021
Warehouse F,San Jose,Air,Cameron Berger,13/04/2021,11/05/2021
Warehouse A,Birmingham,Air,Charlie Le,31/03/2021,28/04/2021
Warehouse B,San Jose,Ship,Casey Love,28/03/2021,25/04/2021
Warehouse C,Boston,Ship,Cory Wise,28/03/2021,25/04/2021
Warehouse F,San Jose,Ship,Neo Estes,16/03/2020,13/04/2020
Warehouse D,New York,Ship,Mason Prince,29/04/2021,27/05/2021
Warehouse F,San Jose,Ship,Vivian Vance,10/07/2019,07/08/2019
Warehouse A,Birmingham,Ship,Brooke Walton,06/05/2021,03/06/2021
Warehouse B,San Jose,Ship,Asa Neal,02/11/2019,30/11/2019
Warehouse C,Boston,Ship,Benedict Vargas,28/03/2021,25/04/2021
Warehouse F,San Jose,Ship,Sienna Abbott,09/04/2021,07/05/2021
Warehouse D,New York,Ship,Armaan Shaw,24/06/2021,22/07/2021
Warehouse F,San Jose,Ship,Juliet Davenport,05/04/2021,03/05/2021
Warehouse A,Birmingham,Ship,Dante Potts,28/03/2021,25/04/2021
Warehouse B,San Jose,Ship,Lee Solis,23/03/2021,20/04/2021
Warehouse C,Boston,Ship,Kristen Cordova,25/03/2021,22/04/2021
Warehouse F,San Jose,Ship,Mason Mcmahon,31/03/2021,28/04/2021
Warehouse D,New York,Ship,Sara Stuart,01/02/2021,01/03/2021
Warehouse F,San Jose,Ship,Violet Vargas,21/04/2021,19/05/2021
Warehouse A,Birmingham,Ship,Blaine Love,19/03/2021,16/04/2021
Warehouse B,San Jose,Ship,Belle Hood,26/08/2021,23/09/2021
Warehouse C,Boston,Ship,Leighton Jordan,04/10/2020,01/11/2020
Warehouse F,San Jose,Ship,Kaiden Navarro,20/03/2021,17/04/2021
Warehouse D,New York,Ship,Ashley Mcconnell,12/02/2021,12/03/2021
Warehouse F,San Jose,Ship,Brooklyn Burke,12/04/2021,10/05/2021
Warehouse A,Birmingham,Ship,Keanu Odom,19/03/2021,16/04/2021
Warehouse B,San Jose,Ship,Phoenix Conner,10/03/2021,07/04/2021
Warehouse C,Boston,Ship,Cruz Brown,27/02/2021,27/03/2021
Warehouse F,San Jose,Ship,Carmen Rhodes,03/04/2021,01/05/2021
Warehouse D,New York,Ship,Seren Morrison,18/04/2019,16/05/2019
Warehouse F,San Jose,Ship,Harley Waller,21/04/2021,19/05/2021
Warehouse A,Birmingham,Ship,Katerina Dorsey,27/03/2021,24/04/2021
Warehouse B,San Jose,Ship,Francis Koch,27/04/2021,25/05/2021
Warehouse C,Boston,Ship,Max Bird,30/03/2021,27/04/2021
Warehouse F,San Jose,Ship,Angel Meadows,15/06/2019,13/07/2019
Warehouse D,New York,Ship,Jan Hahn,25/03/2021,22/04/2021
Warehouse F,San Jose,Ship,Frankie Mills,26/07/2021,23/08/2021
Warehouse A,Birmingham,Ship,Casey Vaughn,07/05/2020,04/06/2020
Warehouse B,San Jose,Ship,Stevie Stokes,11/02/2021,11/03/2021
Warehouse C,Boston,Ship,Tyler Stafford,27/02/2021,27/03/2021
Warehouse F,San Jose,Ship,Tyrese Cain,02/02/2021,02/03/2021
Warehouse D,New York,Ship,Harri Bonner,25/03/2021,22/04/2021
Warehouse F,San Jose,Ship,Verity Velez,25/04/2021,23/05/2021
Warehouse A,Birmingham,Ship,Charlie Hodge,04/05/2021,01/06/2021
Warehouse B,San Jose,Ship,Evangeline Mendoza,05/04/2021,03/05/2021
Warehouse C,Boston,Ship,Elliot Cantu,12/04/2021,10/05/2021
Warehouse F,San Jose,Ship,Jayden Soto,08/09/2021,06/10/2021
Warehouse D,New York,Ship,Dana Howe,05/02/2021,05/03/2021
Warehouse F,San Jose,Ship,Alex Rojas,28/03/2021,25/04/2021
Warehouse A,Birmingham,Ship,Harris Yang,16/03/2021,13/04/2021
Warehouse B,San Jose,Ship,Jamie Arias,11/05/2021,08/06/2021
Warehouse C,Boston,Ship,Nate Friedman,16/04/2020,14/05/2020
Warehouse F,San Jose,Ship,Pearl Strickland,31/03/2021,28/04/2021
Warehouse D,New York,Ship,Ines Arroyo,24/08/2021,21/09/2021
Warehouse F,San Jose,Ship,Spencer Weaver,19/03/2021,16/04/2021
Warehouse A,Birmingham,Ship,Kade Randall,26/05/2019,23/06/2019
Warehouse B,San Jose,Ship,Ada May,20/03/2021,17/04/2021
Warehouse C,Boston,Ship,Sidney Wilkins,06/03/2021,03/04/2021
Warehouse F,San Jose,Ship,Rebekah Rose,06/10/2018,03/11/2018
Warehouse D,New York,Ship,Kobi Merrill,03/04/2021,01/05/2021
Warehouse F,San Jose,Ship,Bobby Valencia,23/02/2021,23/03/2021
Warehouse A,Birmingham,Ship,Cleo Robbins,05/05/2021,02/06/2021
Warehouse B,San Jose,Ship,Ellis Jackson,03/04/2020,01/05/2020
Warehouse C,Boston,Ship,Claire Vang,03/11/2020,01/12/2020
Warehouse F,San Jose,Ship,Tatiana Reilly,19/03/2021,16/04/2021
Warehouse D,New York,Ship,Jorge Zimmerman,04/03/2021,01/04/2021
Warehouse F,San Jose,Ship,Tommy Dillon,13/02/2021,13/03/2021
Warehouse A,Birmingham,Ship,Leslie Mcintosh,27/03/2021,24/04/2021
Warehouse B,San Jose,Ship,Kye Miranda,27/04/2021,25/05/2021
Warehouse C,Boston,Ship,Cian Morton,17/01/2021,14/02/2021
Warehouse F,San Jose,Ship,Jaydon Reese,09/02/2021,09/03/2021
Warehouse D,New York,Ship,Wade Ashley,29/03/2021,26/04/2021
Warehouse F,San Jose,Ship,Keeley Goodman,08/01/2021,05/02/2021
Warehouse A,Birmingham,Ship,Brodie Hudson,17/02/2021,17/03/2021
Warehouse B,San Jose,Ship,Rowan Jenkins,26/03/2021,23/04/2021
Warehouse C,Boston,Ship,Shane Briggs,30/05/2021,27/06/2021
Warehouse F,San Jose,Ship,Virginia Wallace,02/05/2021,30/05/2021
